logTime,군서배수지_유량,hour,weekday,is_holiday,is_weekend
2018-01-11 20:00:00,45,20,3,False,False
2018-01-11 21:00:00,44,21,3,False,False
2018-01-11 22:00:00,41,22,3,False,False
2018-01-11 23:00:00,45,23,3,False,False
2018-01-12 00:00:00,39,0,4,False,False
2018-01-12 01:00:00,34,1,4,False,False
2018-01-12 02:00:00,35,2,4,False,False
2018-01-12 03:00:00,34,3,4,False,False
2018-01-12 04:00:00,35,4,4,False,False
2018-01-12 05:00:00,36,5,4,False,False
2018-01-12 06:00:00,44,6,4,False,False
2018-01-12 07:00:00,59,7,4,False,False
2018-01-12 08:00:00,62,8,4,False,False
2018-01-12 09:00:00,64,9,4,False,False
2018-01-12 10:00:00,60,10,4,False,False
2018-01-12 11:00:00,65,11,4,False,False
2018-01-12 12:00:00,59,12,4,False,False
2018-01-12 13:00:00,53,13,4,False,False
2018-01-12 14:00:00,59,14,4,False,False
2018-01-12 15:00:00,51,15,4,False,False
2018-01-12 16:00:00,56,16,4,False,False
2018-01-12 17:00:00,56,17,4,False,False
2018-01-12 18:00:00,53,18,4,False,False
2018-01-12 19:00:00,49,19,4,False,False
2018-01-12 20:00:00,46,20,4,False,False
2018-01-12 21:00:00,44,21,4,False,False
2018-01-12 22:00:00,42,22,4,False,False
2018-01-12 23:00:00,40,23,4,False,False
2018-01-13 00:00:00,36,0,5,False,True
2018-01-13 01:00:00,36,1,5,False,True
2018-01-13 02:00:00,35,2,5,False,True
2018-01-13 03:00:00,36,3,5,False,True
2018-01-13 04:00:00,36,4,5,False,True
2018-01-13 05:00:00,39,5,5,False,True
2018-01-13 06:00:00,42,6,5,False,True
2018-01-13 07:00:00,50,7,5,False,True
2018-01-13 08:00:00,57,8,5,False,True
2018-01-13 09:00:00,54,9,5,False,True
2018-01-13 10:00:00,51,10,5,False,True
2018-01-13 11:00:00,49,11,5,False,True
2018-01-13 12:00:00,53,12,5,False,True
2018-01-13 13:00:00,50,13,5,False,True
2018-01-13 14:00:00,49,14,5,False,True
2018-01-13 15:00:00,47,15,5,False,True
2018-01-13 16:00:00,51,16,5,False,True
2018-01-13 17:00:00,52,17,5,False,True
2018-01-13 18:00:00,53,18,5,False,True
2018-01-13 19:00:00,51,19,5,False,True
2018-01-13 20:00:00,48,20,5,False,True
2018-01-13 21:00:00,47,21,5,False,True
2018-01-13 22:00:00,43,22,5,False,True
2018-01-13 23:00:00,43,23,5,False,True
2018-01-14 00:00:00,40,0,6,False,True
2018-01-14 01:00:00,38,1,6,False,True
2018-01-14 02:00:00,37,2,6,False,True
2018-01-14 03:00:00,37,3,6,False,True
2018-01-14 04:00:00,37,4,6,False,True
2018-01-14 05:00:00,39,5,6,False,True
2018-01-14 06:00:00,41,6,6,False,True
2018-01-14 07:00:00,50,7,6,False,True
2018-01-14 08:00:00,60,8,6,False,True
2018-01-14 09:00:00,59,9,6,False,True
2018-01-14 10:00:00,55,10,6,False,True
2018-01-14 11:00:00,53,11,6,False,True
2018-01-14 12:00:00,54,12,6,False,True
2018-01-14 13:00:00,51,13,6,False,True
2018-01-14 14:00:00,48,14,6,False,True
2018-01-14 15:00:00,49,15,6,False,True
2018-01-14 16:00:00,51,16,6,False,True
2018-01-14 17:00:00,53,17,6,False,True
2018-01-14 18:00:00,57,18,6,False,True
2018-01-14 19:00:00,55,19,6,False,True
2018-01-14 20:00:00,51,20,6,False,True
2018-01-14 21:00:00,50,21,6,False,True
2018-01-14 22:00:00,44,22,6,False,True
2018-01-14 23:00:00,41,23,6,False,True
2018-01-15 00:00:00,41,0,0,False,False
2018-01-15 01:00:00,39,1,0,False,False
2018-01-15 02:00:00,38,2,0,False,False
2018-01-15 03:00:00,40,3,0,False,False
2018-01-15 04:00:00,39,4,0,False,False
2018-01-15 05:00:00,42,5,0,False,False
2018-01-15 06:00:00,47,6,0,False,False
2018-01-15 07:00:00,62,7,0,False,False
2018-01-15 08:00:00,71,8,0,False,False
2018-01-15 09:00:00,73,9,0,False,False
2018-01-15 10:00:00,66,10,0,False,False
2018-01-15 11:00:00,60,11,0,False,False
2018-01-15 12:00:00,66,12,0,False,False
2018-01-15 13:00:00,57,13,0,False,False
2018-01-15 14:00:00,53,14,0,False,False
2018-01-15 15:00:00,55,15,0,False,False
2018-01-15 16:00:00,56,16,0,False,False
2018-01-15 17:00:00,58,17,0,False,False
2018-01-15 18:00:00,60,18,0,False,False
2018-01-15 19:00:00,57,19,0,False,False
2018-01-15 20:00:00,54,20,0,False,False
2018-01-15 21:00:00,58,21,0,False,False
2018-01-15 22:00:00,42,22,0,False,False
2018-01-15 23:00:00,38,23,0,False,False
2018-01-16 00:00:00,37,0,1,False,False
2018-01-16 01:00:00,37,1,1,False,False
2018-01-16 02:00:00,35,2,1,False,False
2018-01-16 03:00:00,36,3,1,False,False
2018-01-16 04:00:00,36,4,1,False,False
2018-01-16 05:00:00,40,5,1,False,False
2018-01-16 06:00:00,44,6,1,False,False
2018-01-16 07:00:00,58,7,1,False,False
2018-01-16 08:00:00,62,8,1,False,False
2018-01-16 09:00:00,67,9,1,False,False
2018-01-16 10:00:00,64,10,1,False,False
2018-01-16 11:00:00,70,11,1,False,False
2018-01-16 12:00:00,62,12,1,False,False
2018-01-16 13:00:00,54,13,1,False,False
2018-01-16 14:00:00,57,14,1,False,False
2018-01-16 15:00:00,57,15,1,False,False
2018-01-16 16:00:00,56,16,1,False,False
2018-01-16 17:00:00,59,17,1,False,False
2018-01-16 18:00:00,53,18,1,False,False
2018-01-16 19:00:00,50,19,1,False,False
2018-01-16 20:00:00,47,20,1,False,False
2018-01-16 21:00:00,46,21,1,False,False
2018-01-16 22:00:00,48,22,1,False,False
2018-01-16 23:00:00,41,23,1,False,False
2018-01-17 00:00:00,37,0,2,False,False
2018-01-17 01:00:00,37,1,2,False,False
2018-01-17 02:00:00,37,2,2,False,False
2018-01-17 03:00:00,39,3,2,False,False
2018-01-17 04:00:00,38,4,2,False,False
2018-01-17 05:00:00,39,5,2,False,False
2018-01-17 06:00:00,46,6,2,False,False
2018-01-17 07:00:00,60,7,2,False,False
2018-01-17 08:00:00,65,8,2,False,False
2018-01-17 09:00:00,70,9,2,False,False
2018-01-17 10:00:00,67,10,2,False,False
2018-01-17 11:00:00,65,11,2,False,False
2018-01-17 12:00:00,58,12,2,False,False
2018-01-17 13:00:00,60,13,2,False,False
2018-01-17 14:00:00,61,14,2,False,False
2018-01-17 15:00:00,59,15,2,False,False
