logTime,경기동남권_광역 성남 공도(배) 유출 유량 적산차,경기동남권_광역 성남 원곡(배) 유출 유량 적산차,hour,weekday,is_weekend,is_holiday
2020-01-10 15:00:00,68.0,315.0,15,4,False,False
2020-01-10 16:00:00,232.0,587.0,16,4,False,False
2020-01-10 17:00:00,396.0,487.0,17,4,False,False
2020-01-10 18:00:00,156.0,465.0,18,4,False,False
2020-01-10 19:00:00,180.0,458.0,19,4,False,False
2020-01-10 20:00:00,110.0,475.0,20,4,False,False
2020-01-10 21:00:00,102.0,435.0,21,4,False,False
2020-01-10 22:00:00,264.0,372.0,22,4,False,False
2020-01-10 23:00:00,392.0,337.0,23,4,False,False
2020-01-11 00:00:00,510.0,299.0,0,5,True,False
2020-01-11 01:00:00,402.0,287.0,1,5,True,False
2020-01-11 02:00:00,142.0,209.0,2,5,True,False
2020-01-11 03:00:00,98.0,206.0,3,5,True,False
2020-01-11 04:00:00,6.0,153.0,4,5,True,False
2020-01-11 05:00:00,0.0,203.0,5,5,True,False
2020-01-11 06:00:00,2.0,357.0,6,5,True,False
2020-01-11 07:00:00,2.0,338.3333333333333,7,5,True,False
2020-01-11 08:00:00,94.0,319.6666666666667,8,5,True,False
2020-01-11 09:00:00,186.0,301.0,9,5,True,False
2020-01-11 10:00:00,102.0,472.0,10,5,True,False
2020-01-11 11:00:00,60.0,594.0,11,5,True,False
2020-01-11 12:00:00,130.0,377.0,12,5,True,False
2020-01-11 13:00:00,194.0,339.0,13,5,True,False
2020-01-11 14:00:00,292.0,364.0,14,5,True,False
2020-01-11 15:00:00,284.0,339.0,15,5,True,False
2020-01-11 16:00:00,220.0,431.0,16,5,True,False
2020-01-11 17:00:00,110.0,453.0,17,5,True,False
2020-01-11 18:00:00,262.0,440.0,18,5,True,False
2020-01-11 19:00:00,280.0,477.0,19,5,True,False
2020-01-11 20:00:00,332.0,410.0,20,5,True,False
2020-01-11 21:00:00,250.0,310.0,21,5,True,False
2020-01-11 22:00:00,414.0,368.0,22,5,True,False
2020-01-11 23:00:00,248.0,426.0,23,5,True,False
2020-01-12 00:00:00,156.0,343.0,0,6,True,False
2020-01-12 01:00:00,80.0,269.0,1,6,True,False
2020-01-12 02:00:00,60.0,166.0,2,6,True,False
2020-01-12 03:00:00,164.0,145.0,3,6,True,False
2020-01-12 04:00:00,160.0,182.0,4,6,True,False
2020-01-12 05:00:00,0.0,381.0,5,6,True,False
2020-01-12 06:00:00,40.0,211.0,6,6,True,False
2020-01-12 07:00:00,0.0,188.0,7,6,True,False
2020-01-12 08:00:00,24.0,272.0,8,6,True,False
2020-01-12 09:00:00,88.0,387.0,9,6,True,False
2020-01-12 10:00:00,350.0,397.0,10,6,True,False
2020-01-12 11:00:00,254.0,350.0,11,6,True,False
2020-01-12 12:00:00,146.0,326.0,12,6,True,False
2020-01-12 13:00:00,206.0,513.0,13,6,True,False
2020-01-12 14:00:00,114.0,337.0,14,6,True,False
2020-01-12 15:00:00,190.0,733.0,15,6,True,False
2020-01-12 16:00:00,302.0,490.0,16,6,True,False
2020-01-12 17:00:00,316.0,471.0,17,6,True,False
2020-01-12 18:00:00,206.0,357.0,18,6,True,False
2020-01-12 19:00:00,410.0,387.0,19,6,True,False
2020-01-12 20:00:00,424.0,372.0,20,6,True,False
2020-01-12 21:00:00,304.0,384.0,21,6,True,False
2020-01-12 22:00:00,330.0,360.0,22,6,True,False
2020-01-12 23:00:00,228.0,310.0,23,6,True,False
2020-01-13 00:00:00,176.0,210.0,0,0,False,False
2020-01-13 01:00:00,180.0,323.0,1,0,False,False
2020-01-13 02:00:00,192.0,392.0,2,0,False,False
2020-01-13 03:00:00,4.0,227.0,3,0,False,False
2020-01-13 04:00:00,0.0,243.0,4,0,False,False
2020-01-13 05:00:00,8.0,157.0,5,0,False,False
2020-01-13 06:00:00,2.0,203.0,6,0,False,False
2020-01-13 07:00:00,16.0,223.0,7,0,False,False
2020-01-13 08:00:00,86.0,362.0,8,0,False,False
2020-01-13 09:00:00,280.0,428.0,9,0,False,False
2020-01-13 10:00:00,216.0,358.0,10,0,False,False
2020-01-13 11:00:00,142.0,349.0,11,0,False,False
2020-01-13 12:00:00,160.0,347.0,12,0,False,False
2020-01-13 13:00:00,154.0,406.0,13,0,False,False
2020-01-13 14:00:00,88.0,313.0,14,0,False,False
2020-01-13 15:00:00,140.0,292.0,15,0,False,False
2020-01-13 16:00:00,228.0,516.0,16,0,False,False
